iter	Passed	Remaining
0	159	159671
1	162	81304
2	165	55134
3	170	42424
4	173	34543
5	176	29281
6	179	25525
7	184	22889
8	188	20786
9	192	19018
10	196	17643
11	200	16490
12	204	15499
13	207	14620
14	211	13889
15	216	13300
16	219	12718
17	223	12195
18	227	11735
19	232	11371
20	236	11007
21	239	10660
22	243	10351
23	248	10122
24	252	9858
25	256	9623
26	261	9409
27	265	9229
28	269	9031
29	274	8875
30	279	8749
31	284	8600
32	288	8448
33	292	8310
34	297	8202
35	301	8068
36	305	7945
37	310	7865
38	314	7752
39	319	7669
40	323	7571
41	327	7471
42	331	7384
43	336	7317
44	340	7232
45	344	7150
46	349	7086
47	354	7025
48	358	6957
49	362	6889
50	366	6826
51	370	6760
52	374	6699
53	379	6649
54	384	6612
55	390	6575
56	395	6545
57	400	6511
58	406	6477
59	411	6450
60	417	6430
61	424	6414
62	431	6416
63	439	6425
64	446	6417
65	453	6422
66	468	6520
67	474	6509
68	482	6511
69	488	6492
70	497	6511
71	505	6510
72	514	6529
73	523	6552
74	535	6601
75	546	6638
76	558	6694
77	570	6744
78	582	6795
79	588	6768
80	595	6751
81	600	6726
82	607	6706
83	614	6704
84	621	6691
85	628	6678
86	634	6660
87	643	6665
88	649	6643
89	656	6638
90	663	6626
91	669	6609
92	676	6595
93	682	6581
94	690	6577
95	697	6565
96	704	6557
97	710	6540
98	715	6514
99	722	6501
100	728	6481
101	733	6456
102	740	6445
103	745	6425
104	752	6410
105	757	6387
106	763	6374
107	770	6367
108	776	6350
109	782	6332
110	789	6320
111	795	6307
112	801	6292
113	806	6268
114	812	6252
115	818	6234
116	823	6211
117	829	6197
118	834	6180
119	839	6157
120	846	6146
121	851	6128
122	857	6110
123	863	6098
124	868	6082
125	874	6067
126	881	6057
127	886	6040
128	893	6032
129	899	6017
130	906	6012
131	913	6004
132	920	5997
133	927	5992
134	935	5992
135	951	6047
136	962	6063
137	968	6051
138	975	6041
139	981	6032
140	988	6019
141	993	6005
142	1000	5993
143	1006	5983
144	1012	5971
145	1018	5959
146	1024	5946
147	1030	5933
148	1037	5922
149	1042	5909
150	1048	5896
151	1054	5885
152	1060	5871
153	1066	5859
154	1075	5860
155	1082	5854
156	1091	5861
157	1100	5863
158	1107	5857
159	1115	5854
160	1122	5851
161	1130	5850
162	1138	5847
163	1146	5842
164	1153	5837
165	1159	5827
166	1167	5821
167	1172	5807
168	1177	5790
169	1183	5779
170	1188	5763
171	1193	5747
172	1199	5735
173	1205	5720
174	1209	5702
175	1215	5692
176	1220	5675
177	1225	5659
178	1231	5647
179	1237	5636
180	1242	5623
181	1249	5616
182	1255	5603
183	1261	5593
184	1268	5588
185	1275	5579
186	1282	5577
187	1289	5567
188	1295	5558
189	1302	5550
190	1307	5537
191	1315	5534
192	1320	5523
193	1327	5513
194	1334	5507
195	1341	5504
196	1356	5530
197	1365	5529
198	1370	5517
199	1377	5510
200	1383	5498
201	1388	5484
202	1395	5477
203	1400	5464
204	1406	5452
205	1412	5444
206	1417	5430
207	1428	5439
208	1433	5424
209	1439	5414
210	1444	5403
211	1449	5389
212	1456	5380
213	1462	5370
214	1467	5356
215	1473	5349
216	1478	5335
217	1483	5321
218	1490	5316
219	1496	5304
220	1501	5293
221	1508	5286
222	1513	5274
223	1520	5268
224	1526	5258
225	1531	5246
226	1538	5240
227	1544	5229
228	1549	5218
229	1556	5210
230	1561	5198
231	1567	5188
232	1572	5175
233	1577	5163
234	1582	5153
235	1588	5141
236	1592	5128
237	1598	5116
238	1604	5107
239	1610	5098
240	1615	5088
241	1620	5075
242	1625	5063
243	1630	5050
244	1635	5039
245	1640	5028
246	1648	5024
247	1653	5014
248	1658	5002
249	1663	4991
250	1668	4980
251	1674	4969
252	1680	4961
253	1686	4952
254	1691	4942
255	1698	4936
256	1704	4926
257	1709	4916
258	1716	4909
259	1721	4900
260	1727	4890
261	1733	4882
262	1738	4872
263	1746	4869
264	1756	4872
265	1765	4870
266	1771	4862
267	1777	4855
268	1782	4845
269	1788	4835
270	1794	4827
271	1799	4817
272	1805	4807
273	1811	4800
274	1816	4789
275	1821	4779
276	1827	4770
277	1832	4759
278	1837	4748
279	1843	4740
280	1848	4730
281	1853	4718
282	1859	4710
283	1866	4706
284	1875	4705
285	1881	4698
286	1886	4687
287	1892	4677
288	1896	4666
289	1901	4655
290	1906	4645
291	1911	4634
292	1916	4623
293	1921	4613
294	1925	4602
295	1930	4591
296	1934	4580
297	1940	4572
298	1945	4561
299	1949	4549
300	1954	4539
301	1960	4530
302	1964	4519
303	1969	4509
304	1974	4500
305	1979	4490
306	1984	4478
307	1989	4469
308	1994	4459
309	2000	4452
310	2006	4444
311	2011	4435
312	2015	4424
313	2021	4416
314	2026	4406
315	2031	4396
316	2036	4387
317	2041	4378
318	2045	4367
319	2050	4357
320	2056	4349
321	2060	4339
322	2065	4328
323	2071	4321
324	2077	4314
325	2082	4304
326	2087	4295
327	2092	4286
328	2096	4275
329	2101	4266
330	2106	4258
331	2112	4250
332	2118	4243
333	2123	4234
334	2129	4227
335	2134	4218
336	2138	4208
337	2144	4199
338	2149	4191
339	2154	4181
340	2159	4173
341	2165	4166
342	2170	4156
343	2175	4148
344	2180	4140
345	2185	4131
346	2191	4123
347	2196	4115
348	2202	4108
349	2208	4100
350	2212	4091
351	2217	4081
352	2221	4072
353	2226	4063
354	2231	4054
355	2236	4045
356	2241	4037
357	2246	4028
358	2251	4020
359	2261	4020
360	2270	4019
361	2276	4011
362	2280	4002
363	2285	3993
364	2290	3985
365	2295	3976
366	2300	3967
367	2305	3959
368	2309	3949
369	2316	3943
370	2321	3935
371	2327	3928
372	2332	3920
373	2337	3913
374	2343	3906
375	2348	3897
376	2354	3890
377	2360	3883
378	2365	3875
379	2370	3868
380	2376	3861
381	2383	3855
382	2390	3851
383	2397	3845
384	2404	3841
385	2411	3835
386	2418	3830
387	2425	3826
388	2431	3819
389	2438	3814
390	2444	3807
391	2451	3802
392	2458	3796
393	2463	3789
394	2470	3784
395	2476	3776
396	2481	3769
397	2488	3763
398	2493	3755
399	2499	3748
400	2504	3741
401	2509	3733
402	2515	3725
403	2519	3717
404	2525	3710
405	2531	3703
406	2535	3694
407	2540	3686
408	2545	3678
409	2550	3670
410	2556	3663
411	2561	3655
412	2566	3647
413	2571	3640
414	2578	3634
415	2583	3626
416	2588	3618
417	2592	3610
418	2598	3602
419	2602	3594
420	2608	3587
421	2613	3579
422	2617	3571
423	2622	3562
424	2626	3554
425	2631	3545
426	2635	3537
427	2640	3528
428	2645	3520
429	2649	3512
430	2654	3504
431	2658	3496
432	2663	3487
433	2672	3485
434	2679	3480
435	2686	3474
436	2690	3466
437	2695	3459
438	2700	3450
439	2704	3442
440	2709	3434
441	2714	3426
442	2718	3418
443	2723	3409
444	2727	3402
445	2732	3394
446	2736	3385
447	2742	3378
448	2746	3370
449	2750	3362
450	2755	3354
451	2760	3346
452	2764	3338
453	2769	3330
454	2773	3322
455	2778	3314
456	2782	3306
457	2787	3298
458	2791	3290
459	2796	3282
460	2801	3275
461	2806	3267
462	2810	3259
463	2815	3251
464	2820	3245
465	2826	3238
466	2836	3237
467	2847	3237
468	2856	3234
469	2862	3228
470	2867	3221
471	2873	3214
472	2879	3208
473	2886	3203
474	2893	3198
475	2900	3193
476	2908	3188
477	2914	3182
478	2921	3177
479	2929	3173
480	2937	3169
481	2944	3164
482	2952	3159
483	2959	3154
484	2967	3151
485	2976	3148
486	2988	3147
487	2996	3143
